,ID,Target,Tweet,Stance,Opinion towards,Sentiment
2810,2911,Legalization of Abortion,I am 1 in 3... I have had an abortion #AbortionOnDemand #MenstruationMatters #SemST,AGAINST,OTHER,NEITHER
2811,2912,Legalization of Abortion,"How dare you say my sexual preference is a choice, how dare you say dismembering my preborn isn't. #liberalism #SemST",AGAINST,OTHER,NEGATIVE
2812,2913,Legalization of Abortion,"Equal rights for those 'born that way', no rights for those not yet born. #LiberalLogic #liberalism #life #SemST",AGAINST,OTHER,NEGATIVE
2813,2914,Legalization of Abortion,#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas #SemST,AGAINST,OTHER,NEGATIVE
50,51,Legalization of Abortion,Just laid down the law on abortion in my bioethics class. #Catholic #SemST,AGAINST,TARGET,NEGATIVE
51,52,Legalization of Abortion,@tooprettyclub Are you OK with #GOP males telling you what you can and can't do with your own body? #SemST,FAVOR,TARGET,NEGATIVE
52,53,Legalization of Abortion,"If you don't want your kid, put it up for adoption. #sorrynotsorry #SemST",AGAINST,TARGET,NEGATIVE
53,54,Legalization of Abortion,"@RedAlert -there should be a ""stigma"" to butchering pre-born children - its a horrendous crime against humanity.  #murder #SemST",AGAINST,TARGET,NEGATIVE
54,55,Legalization of Abortion,But isn't that the problem then. Not enough faith. #gaystapo #socialism #SemST,NONE,OTHER,NEGATIVE
55,56,Legalization of Abortion,Life is our first and most basic human right. #SemST,AGAINST,TARGET,POSITIVE
56,57,Legalization of Abortion,Rise & Shine its a new day & you're alive. Thank God 4 another day of precious life. #Christian #Catholic #TeamJesus #SemST,AGAINST,TARGET,POSITIVE
57,58,Legalization of Abortion,Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf #SemST,FAVOR,TARGET,NEGATIVE
58,59,Legalization of Abortion,@AsaSoltan putting abortion in with choices for women just won my heart over. Yaaaaaas! #shahs #SemST,FAVOR,TARGET,POSITIVE
59,60,Legalization of Abortion,Last meeting of the year tonight! 7:00 pm in Case Hall room 334A. Come one come all! Pizza and pop will be provided! #SemST,NONE,NO ONE,POSITIVE
60,61,Legalization of Abortion,"FACT: 17% of today's population is equivalent to residents in New York, Florida, and Pennsylvania.  Where's the outrage for this?  #SemST",NONE,OTHER,NEGATIVE
61,62,Legalization of Abortion,They say God isn't listening? Just look at that radar today. #prayfornepal #SemST,NONE,OTHER,POSITIVE
62,63,Legalization of Abortion,If you believe in its power; then pray. #Nepal #Baltimore #ISIS #Kenya #GenderChange #Injustice #Slavery #Racism #MiddleEast #SemST,NONE,OTHER,POSITIVE
63,64,Legalization of Abortion,Planned Parenthood lines its pockets while sacrificing women and children in need at the altar of abortion. #SemST,AGAINST,TARGET,NEGATIVE
64,65,Legalization of Abortion,It is not progressive to try to resolve problems by eliminating a human life. - #PopeFrancis #SemST,AGAINST,TARGET,NEGATIVE
65,66,Legalization of Abortion,"RT @TheKeyisPrayer: ""No law can give me the right to do what is wrong.""  -Abraham Lincoln #SemST",AGAINST,TARGET,NEITHER
66,67,Legalization of Abortion,We live in a world where people care more about religious rights than consent & reproductive rights.... #SemST,FAVOR,TARGET,NEGATIVE
67,68,Legalization of Abortion,we remind ourselves that love means to be willing to give until it hurts - Mother Teresa #SemST,AGAINST,OTHER,POSITIVE
68,69,Legalization of Abortion,"Life, what a beautiful choice. Adoption. Not abortion. #SemST",AGAINST,TARGET,POSITIVE
69,70,Legalization of Abortion,My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady #SemST,FAVOR,TARGET,NEGATIVE
70,71,Legalization of Abortion,"@ShowTruth Keeping pregnant people safe is a great reason for abortion, though. #SemST",FAVOR,TARGET,POSITIVE
71,72,Legalization of Abortion,@rosaryrevival When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine #SemST,NONE,OTHER,POSITIVE
72,73,Legalization of Abortion,#cogar @RefCom_ie get more #questions on #d #ballott! #ireland's #dail is stuck. We'll #help! #drugswar #landwar #etc. #tanks #SemST,NONE,OTHER,POSITIVE
73,74,Legalization of Abortion,"Yep. RT: ""Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice"" #1in3 #SemST",FAVOR,TARGET,POSITIVE
74,75,Legalization of Abortion,"@mrprolife You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No. #SemST",FAVOR,TARGET,NEGATIVE
75,76,Legalization of Abortion,Whether someone wants to have children or not should be completely up to the person carrying that pregnancy... #SemST,FAVOR,TARGET,POSITIVE
76,77,Legalization of Abortion,I will agree to gay marriage if you agree to pro-life and then adopt babies that would have been aborted. #SemST,AGAINST,TARGET,NEGATIVE
77,78,Legalization of Abortion,"On Manila TV,Monday: #Pacquiao appeals to @IndonesiaPresident -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian #SemST",NONE,OTHER,NEGATIVE
78,79,Legalization of Abortion,Too far? Sorry so is he #SemST,NONE,OTHER,NEGATIVE
79,80,Legalization of Abortion,I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights #SemST,FAVOR,TARGET,POSITIVE
80,81,Legalization of Abortion,@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense. #SemST,FAVOR,TARGET,NEGATIVE
81,82,Legalization of Abortion,True progressives work toward greater inclusion and protections for the marginalized. Standing up for the unborn is progressive! #SemST,AGAINST,TARGET,POSITIVE
82,83,Legalization of Abortion,MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators! #SemST,AGAINST,TARGET,POSITIVE
83,84,Legalization of Abortion,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO. #SemST,AGAINST,TARGET,NEGATIVE
84,85,Legalization of Abortion,"@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved. #SemST",AGAINST,TARGET,NEGATIVE
85,86,Legalization of Abortion,Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote #SemST,FAVOR,TARGET,POSITIVE
86,87,Legalization of Abortion,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high.... #SemST",FAVOR,TARGET,NEGATIVE
87,88,Legalization of Abortion,@Britt_Ghiroli @mboyle1 But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger #SemST,NONE,OTHER,NEGATIVE
88,89,Legalization of Abortion,It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife #SemST,AGAINST,TARGET,POSITIVE
89,90,Legalization of Abortion,Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright #SemST,AGAINST,TARGET,NEGATIVE
90,91,Legalization of Abortion,I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.  #SemST,FAVOR,OTHER,NEGATIVE
91,92,Legalization of Abortion,pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen #SemST,FAVOR,TARGET,NEGATIVE
92,93,Legalization of Abortion,U know what isn't funny? Male politicians deciding what women should do with their body's. #SemST,FAVOR,OTHER,NEGATIVE
93,94,Legalization of Abortion,"I was born 4 months premature... I'm perfectly fine, somehow killing babies is legal in this country. #SemST",AGAINST,TARGET,NEGATIVE
94,95,Legalization of Abortion,You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse. #SemST,AGAINST,TARGET,NEGATIVE
95,96,Legalization of Abortion,"@Corey_Frizzell @PEILiberalParty and most Islanders have different definitions of ""timely access"". #irony #peipoli #peivotes #SemST",NONE,OTHER,NEGATIVE
96,97,Legalization of Abortion,@Docjp Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare #SemST,NONE,OTHER,NEGATIVE
97,98,Legalization of Abortion,I love how #liberals only accuse #conservatives of war on women when we don't want to fund #SemST,AGAINST,TARGET,NEGATIVE
98,99,Legalization of Abortion,Help your friend figure out how they're going to get there and where to stay if they need to spend the night #SemST,NONE,NO ONE,POSITIVE
99,100,Legalization of Abortion,@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on #SemST,AGAINST,OTHER,NEGATIVE
